File_name,Lips_distance,Euler's_angles,Expression
extraction/extracted_faces/Laurine4/00000155.jpg,3.0,[  -5.4672604   -2.8181112 -178.12036  ],"[1.0640218e-03 2.4055791e-04 1.8586910e-03 1.7642960e-01 9.1188252e-02
 1.2901017e-03 7.2792876e-01]"
extraction/extracted_faces/Laurine4/00000156.jpg,6.708204,[  -4.019703   -5.102642 -179.28273 ],"[3.7434474e-02 4.3663228e-04 9.5419260e-04 4.3337555e-03 9.3729675e-01
 2.3770290e-04 1.9306468e-02]"
extraction/extracted_faces/Laurine4/00000157.jpg,6.0,[  -1.6082011   -0.4514104 -179.92227  ],"[1.0922415e-03 2.6444961e-05 6.4202119e-05 5.1595164e-03 1.3811564e-02
 1.9305607e-04 9.7965288e-01]"
extraction/extracted_faces/Laurine4/00000158.jpg,6.0,[  -6.2606387    6.784331  -178.01483  ],"[7.6379433e-02 6.0664443e-04 5.3783585e-03 1.0842857e-03 9.0934306e-01
 2.1715142e-04 6.9910670e-03]"
extraction/extracted_faces/Laurine4/00000159.jpg,7.0,[  -7.1553755    1.4579202 -179.31902  ],"[1.54508220e-04 3.91587055e-05 4.15350623e-05 9.88191783e-01
 8.21663649e-04 1.16833195e-04 1.06344670e-02]"
extraction/extracted_faces/Laurine4/0000016.jpg,7.0,[  -3.2376146    -0.81546295 -178.77527   ],"[2.5900315e-02 2.1643200e-04 4.6053664e-03 3.2103408e-04 9.2841917e-01
 2.7857369e-04 4.0259115e-02]"
extraction/extracted_faces/Laurine4/00000160.jpg,3.0,[  -6.3479447   -1.6924866 -178.58086  ],"[3.3702333e-02 4.4074794e-04 8.6104113e-04 1.9837566e-02 3.5895753e-01
 9.1714895e-04 5.8528358e-01]"
extraction/extracted_faces/Laurine4/00000161.jpg,6.0,[ -23.199236    -2.5753498 -179.91272  ],"[1.7049683e-04 1.2921323e-05 5.3724572e-05 2.0061558e-02 5.5743702e-04
 1.9912027e-04 9.7894478e-01]"
extraction/extracted_faces/Laurine4/00000162.jpg,3.0,[-4.1422849e+00  1.4766735e-01 -1.7976057e+02],"[4.0470574e-02 5.6960108e-04 1.1020760e-02 2.5287073e-04 9.4588816e-01
 1.7589329e-04 1.6222056e-03]"
extraction/extracted_faces/Laurine4/00000163.jpg,3.0,[ -10.586637     2.2811992 -177.9447   ],"[1.9633638e-02 3.0283947e-04 3.1108465e-03 7.6891468e-03 3.8522074e-01
 4.6910130e-04 5.8357370e-01]"
extraction/extracted_faces/Laurine4/00000164.jpg,7.0,[   0.9758098    9.781913  -178.36803  ],"[2.1146509e-04 2.6893124e-05 2.6669291e-05 9.9881327e-01 1.5714300e-04
 6.0912978e-05 7.0369407e-04]"
extraction/extracted_faces/Laurine4/00000165.jpg,3.0,[ -22.738796   -9.215029 -179.56041 ],"[9.2986535e-04 1.8941539e-05 2.0151658e-04 1.6840963e-03 1.1172189e-02
 3.4155269e-04 9.8565185e-01]"
extraction/extracted_faces/Laurine4/00000166.jpg,9.0,[  -8.159907     1.5873928 -179.58911  ],"[4.6363235e-03 7.5408687e-05 1.6115110e-03 2.1069875e-04 9.3268585e-01
 1.6876969e-04 6.0611531e-02]"
extraction/extracted_faces/Laurine4/00000167.jpg,6.0,[ -22.310766   -2.723403 -178.7922  ],"[1.3376928e-04 3.6150388e-05 1.0556096e-04 9.5790511e-01 5.1138131e-04
 1.5845927e-04 4.1149527e-02]"
extraction/extracted_faces/Laurine4/00000168.jpg,6.0,[ -27.491446  -10.978209 -177.40738 ],"[6.1789912e-04 9.6455864e-05 4.0166569e-04 8.8666987e-01 1.6612252e-03
 5.0362147e-04 1.1004930e-01]"
extraction/extracted_faces/Laurine4/00000169.jpg,28.284271,[-18.876034    1.5705348 179.89932  ],"[0.16893572 0.00059502 0.00198335 0.00456283 0.4331192  0.00072533
 0.39007849]"
extraction/extracted_faces/Laurine4/0000017.jpg,10.0,[  -9.468619     1.1113199 -179.50781  ],"[1.5529634e-03 5.3542524e-05 4.5078428e-04 5.2656607e-05 9.9423558e-01
 9.3427479e-05 3.5610949e-03]"
extraction/extracted_faces/Laurine4/00000170.jpg,3.0,[ -10.271815    -2.2939577 -178.1856   ],"[2.8982493e-03 7.6807453e-05 1.9995011e-04 6.8328893e-03 9.0033330e-02
 3.6498575e-04 8.9959371e-01]"
extraction/extracted_faces/Laurine4/00000171.jpg,6.0,[ -28.653652  -12.138622 -176.85002 ],"[4.0692785e-03 1.9531835e-04 9.3594013e-04 2.8226161e-01 6.7286296e-03
 9.8269957e-04 7.0482659e-01]"
extraction/extracted_faces/Laurine4/00000172.jpg,3.0,[ -10.20216     8.128419 -179.70097 ],"[8.3596483e-03 3.0835770e-04 3.5577800e-04 7.5134087e-01 6.9999779e-03
 1.0598408e-03 2.3157552e-01]"
extraction/extracted_faces/Laurine4/00000173.jpg,7.0,[  -1.6644931    1.3569888 -178.94917  ],"[1.8406661e-01 4.3233385e-04 1.9795157e-03 3.4559832e-04 7.6688063e-01
 7.4122159e-04 4.5554161e-02]"
extraction/extracted_faces/Laurine4/00000174.jpg,10.770329,[ -12.954239    -1.4977719 -178.48352  ],"[0.10654116 0.00119238 0.62636495 0.00578631 0.00416115 0.25295088
 0.00300326]"
extraction/extracted_faces/Laurine4/00000175.jpg,7.0,[ -13.807847     3.8268023 -179.61514  ],"[4.9296481e-04 5.6741883e-05 7.7672870e-05 6.1550635e-01 4.0769516e-04
 3.9127242e-04 3.8306725e-01]"
extraction/extracted_faces/Laurine4/00000176.jpg,10.0,[ -10.621675     3.0013993 -179.41534  ],"[1.6653512e-01 6.0661021e-04 1.2840198e-02 5.6561350e-04 7.8850055e-01
 4.9864233e-04 3.0453315e-02]"
extraction/extracted_faces/Laurine4/00000177.jpg,6.0,[ -6.332883 -16.862667 179.53142 ],"[7.14264274e-01 7.83542404e-04 8.48451979e-04 1.22970392e-04
 2.83068329e-01 1.20553756e-04 7.91898172e-04]"
extraction/extracted_faces/Laurine4/00000178.jpg,6.0,[  -3.3462086    0.9003433 -179.02441  ],"[3.39435152e-04 1.01947575e-04 1.07433624e-03 3.38920131e-02
 8.80737826e-02 8.87929345e-04 8.75630617e-01]"
extraction/extracted_faces/Laurine4/00000179.jpg,7.0,[ -16.13831     5.788873 -179.10799 ],"[5.6209706e-02 1.0722225e-03 3.3325851e-02 7.3536257e-03 8.7235081e-01
 5.4660509e-04 2.9141201e-02]"
extraction/extracted_faces/Laurine4/0000018.jpg,7.0,[ -20.432417     4.8369346 -178.32428  ],"[6.1649975e-04 6.3668216e-05 6.5762099e-05 8.7075949e-01 3.8830034e-04
 3.0555355e-04 1.2780070e-01]"
extraction/extracted_faces/Laurine4/00000180.jpg,10.0,[ -15.853984     2.5874555 -179.256    ],"[6.2973925e-04 6.8271685e-05 7.7876044e-05 9.7498739e-01 2.9841269e-04
 3.2498396e-04 2.3613460e-02]"
