File_name,Lips_distance,Euler's_angles,Expression
extraction/extracted_faces/Pierre/00000332.jpg,10.0,[-17.878172    0.6361608 179.91644  ],"[1.7200881e-03 4.2969428e-04 9.1361040e-01 4.7789477e-02 1.8573631e-02
 1.0279459e-02 7.5972420e-03]"
extraction/extracted_faces/Pierre/00000333.jpg,5.0,[-14.154068    2.9485226 179.68178  ],"[0.00151734 0.00095975 0.07421608 0.24824603 0.14889002 0.01908088
 0.5070899 ]"
extraction/extracted_faces/Pierre/00000334.jpg,4.0,[-26.904278    3.5926886 179.6825   ],"[0.00427278 0.00200502 0.7663646  0.05782853 0.04605642 0.09741861
 0.02605416]"
extraction/extracted_faces/Pierre/00000335.jpg,4.0,[  25.25931      3.4818292 -178.13152  ],"[1.5255313e-04 3.3035216e-05 9.8668319e-01 3.5183351e-03 1.1899434e-03
 2.8761188e-03 5.5468655e-03]"
extraction/extracted_faces/Pierre/00000336.jpg,3.0,[-11.233858   1.197398 179.8717  ],"[0.00377458 0.00182119 0.46817976 0.15578295 0.05389552 0.19701639
 0.11952958]"
extraction/extracted_faces/Pierre/00000337.jpg,4.0,[ -4.402376   -1.5299081 178.41293  ],"[0.03207818 0.0092943  0.46422926 0.07438883 0.3127549  0.08822182
 0.01903269]"
extraction/extracted_faces/Pierre/00000338.jpg,18.439089,[-23.036373  -2.91585  179.41415 ],"[0.00887187 0.00202779 0.16598253 0.36063012 0.11383572 0.0198291
 0.32882285]"
extraction/extracted_faces/Pierre/00000339.jpg,9.0,[-17.15522    -1.6795505 179.86311  ],"[6.2674973e-03 8.0221321e-04 6.5488853e-02 8.2228309e-01 1.1183438e-02
 8.9992322e-03 8.4975764e-02]"
extraction/extracted_faces/Pierre/0000034.jpg,9.848858,[-1.8664051e+01  3.0249304e-03  1.7799956e+02],"[2.72184901e-04 1.05533865e-04 9.84913647e-01 5.00025600e-03
 3.30603635e-03 5.79826348e-03 6.04024623e-04]"
extraction/extracted_faces/Pierre/00000340.jpg,4.0,[ -8.923267    -0.92226255 179.87848   ],"[0.00216022 0.00094285 0.76539344 0.02006802 0.01853316 0.18718374
 0.00571855]"
extraction/extracted_faces/Pierre/00000341.jpg,6.4031243,[-41.66179     4.3267784 179.54109  ],"[0.00919257 0.00252482 0.11026489 0.05548774 0.46357426 0.08395396
 0.2750018 ]"
extraction/extracted_faces/Pierre/00000342.jpg,7.071068,[  21.473995     2.3528562 -179.39636  ],"[4.2131107e-04 1.9478133e-04 8.8957578e-01 6.4667434e-02 3.2755730e-03
 1.7883422e-02 2.3981655e-02]"
extraction/extracted_faces/Pierre/00000343.jpg,4.0,[ -4.0027466  -1.7539012 178.57623  ],"[0.00313065 0.00239511 0.05037047 0.35269213 0.5488477  0.01623064
 0.02633337]"
extraction/extracted_faces/Pierre/00000344.jpg,7.071068,[-10.650081     0.31285426 179.24976   ],"[0.00507474 0.00204403 0.05788299 0.6349799  0.26058757 0.01400097
 0.02542981]"
extraction/extracted_faces/Pierre/00000345.jpg,4.0,[-27.605947  -3.89085  176.55931 ],"[0.00904566 0.00159839 0.02433597 0.02704334 0.8427698  0.01500417
 0.08020261]"
extraction/extracted_faces/Pierre/00000346.jpg,12.727922,[  30.355114     2.3073325 -177.90962  ],"[2.2947231e-04 2.3728240e-05 9.7488540e-01 1.0296355e-03 1.5601221e-03
 2.4237221e-03 1.9847907e-02]"
extraction/extracted_faces/Pierre/0000035.jpg,6.4031243,[  24.088844     3.3897781 -178.76103  ],"[7.5867138e-04 2.2667831e-04 4.2636683e-03 1.7195560e-01 1.3487711e-02
 4.6398463e-03 8.0466789e-01]"
extraction/extracted_faces/Pierre/0000036.jpg,4.0,[ -5.1474304   0.9433401 179.08559  ],"[0.00304528 0.00109444 0.7848331  0.01974007 0.03638459 0.1375558
 0.01734671]"
extraction/extracted_faces/Pierre/0000037.jpg,5.0,[-25.255451    5.1826835 179.58043  ],"[0.00546762 0.0020751  0.6115152  0.23965184 0.03824258 0.08132485
 0.02172279]"
extraction/extracted_faces/Pierre/0000038.jpg,4.0,[-13.078373    -0.55659086 178.05536   ],"[0.01230735 0.00511637 0.31876588 0.30984598 0.11112801 0.20788097
 0.03495538]"
extraction/extracted_faces/Pierre/0000039.jpg,4.0,[-33.645386  -4.521125 156.58006 ],"[2.8745888e-03 5.1676243e-04 9.1626346e-01 1.4382296e-03 7.4897110e-02
 2.9390107e-03 1.0708859e-03]"
extraction/extracted_faces/Pierre/000004.jpg,5.0,[ -6.534158   -1.5457361 178.80832  ],"[6.7617075e-04 1.2468456e-04 9.7442394e-01 3.7280419e-03 1.3654654e-02
 3.0914338e-03 4.3010223e-03]"
